adc_bits,sample_rate_gsps,mismatch_case,mismatch_sigma_lsb,jitter_case,clock_jitter_fs,energy_per_conversion_pj,energy_ratio_vs_8bit,latency_ps,latency_ratio_vs_8bit,enob,sndr_db,trend_pass,evidence_label,promotion_decision,claim_boundary
4,0.5,nominal,0.25,low_jitter,50.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.5125,22.905250000000002,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,0.5,nominal,0.25,nominal,100.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.4763764005203224,22.68778593113234,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,0.5,nominal,0.25,stress,250.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.428623599479678,22.40031406886766,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,0.5,moderate,0.5,low_jitter,50.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.375,22.0775,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,0.5,moderate,0.5,nominal,100.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.338876400520322,21.86003593113234,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,0.5,moderate,0.5,stress,250.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.2911235994796777,21.57256406886766,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,0.5,stress,1.0,low_jitter,50.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.1,20.422,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,0.5,stress,1.0,nominal,100.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.0638764005203223,20.20453593113234,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,0.5,stress,1.0,stress,250.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.016123599479678,19.91706406886766,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,1.0,nominal,0.25,low_jitter,50.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.5125,22.905250000000002,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,1.0,nominal,0.25,nominal,100.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.4763764005203224,22.68778593113234,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,1.0,nominal,0.25,stress,250.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.428623599479678,22.40031406886766,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,1.0,moderate,0.5,low_jitter,50.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.375,22.0775,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,1.0,moderate,0.5,nominal,100.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.338876400520322,21.86003593113234,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,1.0,moderate,0.5,stress,250.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.2911235994796777,21.57256406886766,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,1.0,stress,1.0,low_jitter,50.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.1,20.422,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,1.0,stress,1.0,nominal,100.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.0638764005203223,20.20453593113234,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,1.0,stress,1.0,stress,250.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.016123599479678,19.91706406886766,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,2.0,nominal,0.25,low_jitter,50.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.3125,21.70125,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,2.0,nominal,0.25,nominal,100.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.276376400520322,21.48378593113234,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,2.0,nominal,0.25,stress,250.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.2286235994796777,21.19631406886766,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,2.0,moderate,0.5,low_jitter,50.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.175,20.8735,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,2.0,moderate,0.5,nominal,100.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.138876400520322,20.65603593113234,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,2.0,moderate,0.5,stress,250.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,3.0911235994796775,20.36856406886766,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,2.0,stress,1.0,low_jitter,50.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,2.9,19.218,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,2.0,stress,1.0,nominal,100.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,2.863876400520322,19.00053593113234,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
4,2.0,stress,1.0,stress,250.0,0.0625,0.0625,1414.213562373095,1.4142135623730951,2.8161235994796776,18.71306406886766,True,spice_proxy,appendix,"ADC macro proxy, not silicon or extracted-layout SPICE closure"
