tag,task,split,seed,condition,architecture_condition,device,git_hash,command,primary_metric_name,primary_metric,delta_primary_metric,original_slack_source,linked_schedule_source,architecture_summary_artifact,architecture_json_artifact,architecture_workload,architecture_energy_pj,architecture_latency_ns,architecture_edp_pj_ns,profile_link_status,profile_link_note
20260513_tetc_pivot,sst2,validation,0,e0_dense,lightening_dptc,mps,1da8b35,"experiments/tools/run_suds_glue_bert_eval.py --device mps --tasks sst2,mrpc,mnli,qqp,qnli,rte --seeds 0,1,2 --tag 20260511_p2p3_quality --csv_out experiments/results/report_data/suds_glue_measured_validation_20260511_p2p3_quality.csv --json_out experiments/results/report_data/suds_glue_measured_validation_20260511_p2p3_quality.json --report_out docs/reports/20260511_p2p3_quality_suds_glue_measured_validation.md",accuracy,92.43119266055045,0.0,none_dense_baseline,dptc_photonic_tile_schedule,experiments/results/report_data/suds_transformer_architecture_sim_20260513_tetc_pivot_summary.csv,experiments/results/report_data/suds_transformer_architecture_sim_20260513_tetc_pivot.json,bert_base_glue_seq128,97367145.133984,8526.215733333336,830173284751.1248,pass,Existing governed MPS GLUE row is linked to the hardware-derived BERT DPTC schedule and matching architecture condition. The accuracy measurement remains measured; energy remains architecture-modeled.
20260513_tetc_pivot,sst2,validation,0,e2_l1,l1,mps,1da8b35,"experiments/tools/run_suds_glue_bert_eval.py --device mps --tasks sst2,mrpc,mnli,qqp,qnli,rte --seeds 0,1,2 --tag 20260511_p2p3_quality --csv_out experiments/results/report_data/suds_glue_measured_validation_20260511_p2p3_quality.csv --json_out experiments/results/report_data/suds_glue_measured_validation_20260511_p2p3_quality.json --report_out docs/reports/20260511_p2p3_quality_suds_glue_measured_validation.md",accuracy,92.43119266055045,0.0,"analytical_bert_encoder_serial_column_profile;alpha=0.35;tau=(0.1,0.7)",dptc_photonic_tile_schedule,experiments/results/report_data/suds_transformer_architecture_sim_20260513_tetc_pivot_summary.csv,experiments/results/report_data/suds_transformer_architecture_sim_20260513_tetc_pivot.json,bert_base_glue_seq128,68899417.73119205,8015.112407716053,552236577941.6888,pass,Existing governed MPS GLUE row is linked to the hardware-derived BERT DPTC schedule and matching architecture condition. The accuracy measurement remains measured; energy remains architecture-modeled.
20260513_tetc_pivot,sst2,validation,0,e3_slack,slack_only,mps,1da8b35,"experiments/tools/run_suds_glue_bert_eval.py --device mps --tasks sst2,mrpc,mnli,qqp,qnli,rte --seeds 0,1,2 --tag 20260511_p2p3_quality --csv_out experiments/results/report_data/suds_glue_measured_validation_20260511_p2p3_quality.csv --json_out experiments/results/report_data/suds_glue_measured_validation_20260511_p2p3_quality.json --report_out docs/reports/20260511_p2p3_quality_suds_glue_measured_validation.md",accuracy,92.43119266055045,0.0,"analytical_bert_encoder_serial_column_profile;alpha=0.35;tau=(0.1,0.7)",dptc_photonic_tile_schedule,experiments/results/report_data/suds_transformer_architecture_sim_20260513_tetc_pivot_summary.csv,experiments/results/report_data/suds_transformer_architecture_sim_20260513_tetc_pivot.json,bert_base_glue_seq128,68905538.99839206,8019.259607716052,552571405637.7086,pass,Existing governed MPS GLUE row is linked to the hardware-derived BERT DPTC schedule and matching architecture condition. The accuracy measurement remains measured; energy remains architecture-modeled.
20260513_tetc_pivot,sst2,validation,0,e4_suds,suds_only,mps,1da8b35,"experiments/tools/run_suds_glue_bert_eval.py --device mps --tasks sst2,mrpc,mnli,qqp,qnli,rte --seeds 0,1,2 --tag 20260511_p2p3_quality --csv_out experiments/results/report_data/suds_glue_measured_validation_20260511_p2p3_quality.csv --json_out experiments/results/report_data/suds_glue_measured_validation_20260511_p2p3_quality.json --report_out docs/reports/20260511_p2p3_quality_suds_glue_measured_validation.md",accuracy,92.43119266055045,0.0,"analytical_bert_encoder_serial_column_profile;alpha=0.35;tau=(0.1,0.7)",dptc_photonic_tile_schedule,experiments/results/report_data/suds_transformer_architecture_sim_20260513_tetc_pivot_summary.csv,experiments/results/report_data/suds_transformer_architecture_sim_20260513_tetc_pivot.json,bert_base_glue_seq128,76462242.28672674,8187.259883961669,626016248911.8755,pass,Existing governed MPS GLUE row is linked to the hardware-derived BERT DPTC schedule and matching architecture condition. The accuracy measurement remains measured; energy remains architecture-modeled.
20260513_tetc_pivot,sst2,validation,0,e7_overlay,suds_l1,mps,1da8b35,"experiments/tools/run_suds_glue_bert_eval.py --device mps --tasks sst2,mrpc,mnli,qqp,qnli,rte --seeds 0,1,2 --tag 20260511_p2p3_quality --csv_out experiments/results/report_data/suds_glue_measured_validation_20260511_p2p3_quality.csv --json_out experiments/results/report_data/suds_glue_measured_validation_20260511_p2p3_quality.json --report_out docs/reports/20260511_p2p3_quality_suds_glue_measured_validation.md",accuracy,92.43119266055045,0.0,"analytical_bert_encoder_serial_column_profile;alpha=0.35;tau=(0.1,0.7)",dptc_photonic_tile_schedule,experiments/results/report_data/suds_transformer_architecture_sim_20260513_tetc_pivot_summary.csv,experiments/results/report_data/suds_transformer_architecture_sim_20260513_tetc_pivot.json,bert_base_glue_seq128,76462242.28672674,8187.259883961669,626016248911.8755,pass,Existing governed MPS GLUE row is linked to the hardware-derived BERT DPTC schedule and matching architecture condition. The accuracy measurement remains measured; energy remains architecture-modeled.
20260513_tetc_pivot,sst2,validation,0,e8_overflow,suds_signal,mps,1da8b35,"experiments/tools/run_suds_glue_bert_eval.py --device mps --tasks sst2,mrpc,mnli,qqp,qnli,rte --seeds 0,1,2 --tag 20260511_p2p3_quality --csv_out experiments/results/report_data/suds_glue_measured_validation_20260511_p2p3_quality.csv --json_out experiments/results/report_data/suds_glue_measured_validation_20260511_p2p3_quality.json --report_out docs/reports/20260511_p2p3_quality_suds_glue_measured_validation.md",accuracy,92.43119266055045,0.0,"analytical_bert_encoder_serial_column_profile;alpha=0.35;tau=(0.1,0.7)",dptc_photonic_tile_schedule,experiments/results/report_data/suds_transformer_architecture_sim_20260513_tetc_pivot_summary.csv,experiments/results/report_data/suds_transformer_architecture_sim_20260513_tetc_pivot.json,bert_base_glue_seq128,76462242.28672674,8187.259883961669,626016248911.8755,pass,Existing governed MPS GLUE row is linked to the hardware-derived BERT DPTC schedule and matching architecture condition. The accuracy measurement remains measured; energy remains architecture-modeled.
20260513_tetc_pivot,sst2,validation,1,e0_dense,lightening_dptc,mps,1da8b35,"experiments/tools/run_suds_glue_bert_eval.py --device mps --tasks sst2,mrpc,mnli,qqp,qnli,rte --seeds 0,1,2 --tag 20260511_p2p3_quality --csv_out experiments/results/report_data/suds_glue_measured_validation_20260511_p2p3_quality.csv --json_out experiments/results/report_data/suds_glue_measured_validation_20260511_p2p3_quality.json --report_out docs/reports/20260511_p2p3_quality_suds_glue_measured_validation.md",accuracy,92.43119266055045,0.0,none_dense_baseline,dptc_photonic_tile_schedule,experiments/results/report_data/suds_transformer_architecture_sim_20260513_tetc_pivot_summary.csv,experiments/results/report_data/suds_transformer_architecture_sim_20260513_tetc_pivot.json,bert_base_glue_seq128,97367145.133984,8526.215733333336,830173284751.1248,pass,Existing governed MPS GLUE row is linked to the hardware-derived BERT DPTC schedule and matching architecture condition. The accuracy measurement remains measured; energy remains architecture-modeled.
20260513_tetc_pivot,sst2,validation,1,e2_l1,l1,mps,1da8b35,"experiments/tools/run_suds_glue_bert_eval.py --device mps --tasks sst2,mrpc,mnli,qqp,qnli,rte --seeds 0,1,2 --tag 20260511_p2p3_quality --csv_out experiments/results/report_data/suds_glue_measured_validation_20260511_p2p3_quality.csv --json_out experiments/results/report_data/suds_glue_measured_validation_20260511_p2p3_quality.json --report_out docs/reports/20260511_p2p3_quality_suds_glue_measured_validation.md",accuracy,92.43119266055045,0.0,"analytical_bert_encoder_serial_column_profile;alpha=0.35;tau=(0.1,0.7)",dptc_photonic_tile_schedule,experiments/results/report_data/suds_transformer_architecture_sim_20260513_tetc_pivot_summary.csv,experiments/results/report_data/suds_transformer_architecture_sim_20260513_tetc_pivot.json,bert_base_glue_seq128,68899417.73119205,8015.112407716053,552236577941.6888,pass,Existing governed MPS GLUE row is linked to the hardware-derived BERT DPTC schedule and matching architecture condition. The accuracy measurement remains measured; energy remains architecture-modeled.
20260513_tetc_pivot,sst2,validation,1,e3_slack,slack_only,mps,1da8b35,"experiments/tools/run_suds_glue_bert_eval.py --device mps --tasks sst2,mrpc,mnli,qqp,qnli,rte --seeds 0,1,2 --tag 20260511_p2p3_quality --csv_out experiments/results/report_data/suds_glue_measured_validation_20260511_p2p3_quality.csv --json_out experiments/results/report_data/suds_glue_measured_validation_20260511_p2p3_quality.json --report_out docs/reports/20260511_p2p3_quality_suds_glue_measured_validation.md",accuracy,92.43119266055045,0.0,"analytical_bert_encoder_serial_column_profile;alpha=0.35;tau=(0.1,0.7)",dptc_photonic_tile_schedule,experiments/results/report_data/suds_transformer_architecture_sim_20260513_tetc_pivot_summary.csv,experiments/results/report_data/suds_transformer_architecture_sim_20260513_tetc_pivot.json,bert_base_glue_seq128,68905538.99839206,8019.259607716052,552571405637.7086,pass,Existing governed MPS GLUE row is linked to the hardware-derived BERT DPTC schedule and matching architecture condition. The accuracy measurement remains measured; energy remains architecture-modeled.
20260513_tetc_pivot,sst2,validation,1,e4_suds,suds_only,mps,1da8b35,"experiments/tools/run_suds_glue_bert_eval.py --device mps --tasks sst2,mrpc,mnli,qqp,qnli,rte --seeds 0,1,2 --tag 20260511_p2p3_quality --csv_out experiments/results/report_data/suds_glue_measured_validation_20260511_p2p3_quality.csv --json_out experiments/results/report_data/suds_glue_measured_validation_20260511_p2p3_quality.json --report_out docs/reports/20260511_p2p3_quality_suds_glue_measured_validation.md",accuracy,92.43119266055045,0.0,"analytical_bert_encoder_serial_column_profile;alpha=0.35;tau=(0.1,0.7)",dptc_photonic_tile_schedule,experiments/results/report_data/suds_transformer_architecture_sim_20260513_tetc_pivot_summary.csv,experiments/results/report_data/suds_transformer_architecture_sim_20260513_tetc_pivot.json,bert_base_glue_seq128,76462242.28672674,8187.259883961669,626016248911.8755,pass,Existing governed MPS GLUE row is linked to the hardware-derived BERT DPTC schedule and matching architecture condition. The accuracy measurement remains measured; energy remains architecture-modeled.
