tag,roadmap_item,data_source,task,condition,condition_label,seed,primary_metric_name,primary_metric,delta_from_reference,task_mean_metric,task_mean_delta,reference_mean_metric,keep_ratio,degrade_ratio,prune_ratio,device,task_type,glue_difficulty
20260514_r12_reinforcement,R12b_glue_task_expansion,existing_6task_glue_eval,mnli,e0_dense,dense 8-bit reference,0,accuracy,84.5746306673459,0.0,84.574631,0.0,84.574631,1.0,0.0,0.0,mps,classification,medium
20260514_r12_reinforcement,R12b_glue_task_expansion,existing_6task_glue_eval,mnli,e0_dense,dense 8-bit reference,1,accuracy,84.5746306673459,0.0,84.574631,0.0,84.574631,1.0,0.0,0.0,mps,classification,medium
20260514_r12_reinforcement,R12b_glue_task_expansion,existing_6task_glue_eval,mnli,e0_dense,dense 8-bit reference,2,accuracy,84.5746306673459,0.0,84.574631,0.0,84.574631,1.0,0.0,0.0,mps,classification,medium
20260514_r12_reinforcement,R12b_glue_task_expansion,existing_6task_glue_eval,mnli,e2_l1,L1-norm column pruning (SUDS Pareto proxy for BERT),0,accuracy,84.5746306673459,0.0,84.574631,0.0,84.574631,0.7002314814814815,0.0,0.29976851851851855,mps,classification,medium
20260514_r12_reinforcement,R12b_glue_task_expansion,existing_6task_glue_eval,mnli,e2_l1,L1-norm column pruning (SUDS Pareto proxy for BERT),1,accuracy,84.5746306673459,0.0,84.574631,0.0,84.574631,0.7002314814814815,0.0,0.29976851851851855,mps,classification,medium
20260514_r12_reinforcement,R12b_glue_task_expansion,existing_6task_glue_eval,mnli,e2_l1,L1-norm column pruning (SUDS Pareto proxy for BERT),2,accuracy,84.5746306673459,0.0,84.574631,0.0,84.574631,0.7002314814814815,0.0,0.29976851851851855,mps,classification,medium
20260514_r12_reinforcement,R12b_glue_task_expansion,existing_6task_glue_eval,mnli,e3_slack,e3_slack,0,accuracy,84.5746306673459,0.0,84.574631,0.0,84.574631,0.7002314814814815,0.0,0.29976851851851855,mps,classification,medium
20260514_r12_reinforcement,R12b_glue_task_expansion,existing_6task_glue_eval,mnli,e3_slack,e3_slack,1,accuracy,84.5746306673459,0.0,84.574631,0.0,84.574631,0.7002314814814815,0.0,0.29976851851851855,mps,classification,medium
20260514_r12_reinforcement,R12b_glue_task_expansion,existing_6task_glue_eval,mnli,e3_slack,e3_slack,2,accuracy,84.5746306673459,0.0,84.574631,0.0,84.574631,0.7002314814814815,0.0,0.29976851851851855,mps,classification,medium
20260514_r12_reinforcement,R12b_glue_task_expansion,existing_6task_glue_eval,mnli,e4_suds,e4_suds,0,accuracy,84.5746306673459,0.0,84.574631,0.0,84.574631,0.026945891203703703,0.7718340084876543,0.20122010030864199,mps,classification,medium
